id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
1001,"Autauga County, Alabama",35696,34581,17946,30157,33225,53248,68125
1003,"Baldwin County, Alabama",130063,31352,17474,25242,30922,46017,55933
1005,"Barbour County, Alabama",18988,25182,20692,21325,24090,41888,50245
1007,"Bibb County, Alabama",15340,27638,22274,28980,22387,30284,42236
1009,"Blount County, Alabama",38846,32808,24870,27541,34660,48681,53664
1011,"Bullock County, Alabama",7510,23818,17307,25800,32250,42759,19656
1013,"Butler County, Alabama",14080,26606,18212,24042,26417,41205,53350
1015,"Calhoun County, Alabama",78545,29402,16627,25789,30623,42051,49854
1017,"Chambers County, Alabama",23756,27631,21073,22806,29004,48028,56098
1019,"Cherokee County, Alabama",18777,30386,20159,26819,32229,43098,55065
1021,"Chilton County, Alabama",29302,32362,26627,30089,33720,44752,52409
1023,"Choctaw County, Alabama",9603,27801,19798,30226,23428,41505,44083
1025,"Clarke County, Alabama",17239,29976,18847,25248,33441,43977,50617
1027,"Clay County, Alabama",9631,28402,21742,26406,27558,35000,48289
1029,"Cleburne County, Alabama",10215,30254,24233,25868,33774,52556,55658
1031,"Coffee County, Alabama",34017,30970,18780,24149,31540,44795,58097
1033,"Colbert County, Alabama",37893,30647,17717,26064,30383,46724,58864
1035,"Conecuh County, Alabama",8959,23679,19028,22414,19548,50547,57716
1037,"Coosa County, Alabama",8136,26089,17500,24231,30024,36250,65536
1039,"Covington County, Alabama",26292,26501,17500,23818,27364,40294,54050
1041,"Crenshaw County, Alabama",9536,29232,22000,26793,30575,41563,39605
1043,"Cullman County, Alabama",55151,30185,18536,27327,31243,41186,54355
1045,"Dale County, Alabama",33127,30760,18258,23790,33353,46588,50938
1047,"Dallas County, Alabama",27847,25387,16968,21668,25870,31136,52159
1049,"DeKalb County, Alabama",46996,26499,18782,25957,28895,40636,50353
1051,"Elmore County, Alabama",53571,35644,20328,29326,32593,50918,53386
1053,"Escambia County, Alabama",26202,27139,15712,23497,29371,34357,55377
1055,"Etowah County, Alabama",71477,28766,19885,23846,28870,42280,53036
1057,"Fayette County, Alabama",11974,26585,14750,28825,22438,42188,40179
1059,"Franklin County, Alabama",21058,27468,20883,26830,31172,41383,53111
1061,"Geneva County, Alabama",18779,26573,17729,24778,29796,37059,51895
1063,"Greene County, Alabama",6015,20954,15508,18957,22825,42383,54911
1065,"Hale County, Alabama",10492,25426,14693,21250,30797,36648,51667
1067,"Henry County, Alabama",12162,30871,20880,26366,30404,54750,56875
1069,"Houston County, Alabama",68997,30239,17005,23947,30484,47294,55408
1071,"Jackson County, Alabama",37111,27412,22271,25130,28895,48956,53012
1073,"Jefferson County, Alabama",441488,34632,17103,25607,31804,47173,58174
1075,"Lamar County, Alabama",10164,27331,23315,25683,26371,49282,48839
1077,"Lauderdale County, Alabama",62721,31303,19385,26623,31572,40169,52253
1079,"Lawrence County, Alabama",23299,31592,19292,29969,31329,44715,49125
1081,"Lee County, Alabama",82970,33563,18481,26259,31143,42665,54440
1083,"Limestone County, Alabama",58244,33581,19791,26168,32644,50802,64113
1085,"Lowndes County, Alabama",7376,25330,18571,24206,23900,40048,48125
1087,"Macon County, Alabama",12719,25822,19173,23970,25453,40313,48871
1089,"Madison County, Alabama",225696,38453,17371,25824,32047,57686,76706
1091,"Marengo County, Alabama",13974,29519,21197,21081,32364,44556,51389
1093,"Marion County, Alabama",21751,25507,15772,23496,27051,42222,49759
1095,"Marshall County, Alabama",62130,27169,17116,24624,30835,44927,56734
1097,"Mobile County, Alabama",269898,31426,18837,27094,30383,43066,52596
1099,"Monroe County, Alabama",15282,26611,15803,24736,28240,43148,55877
1101,"Montgomery County, Alabama",146521,32035,15048,24101,29336,45456,56397
1103,"Morgan County, Alabama",81263,29901,19063,25466,30418,47026,55712
1105,"Perry County, Alabama",6581,23006,18594,19712,29050,30100,40083
1107,"Pickens County, Alabama",13326,26125,17900,23598,28026,32917,50852
1109,"Pike County, Alabama",19256,30377,21326,27069,29703,40517,52477
1111,"Randolph County, Alabama",15495,28100,22958,25390,32800,40542,51699
1113,"Russell County, Alabama",36064,30176,18342,25806,31138,42924,52673
1115,"St. Clair County, Alabama",57946,36596,20698,32740,37366,48889,59444
1117,"Shelby County, Alabama",132782,43002,20318,29728,38627,54431,63407
1119,"Sumter County, Alabama",8272,22250,24135,18464,15853,42338,42986
